S. No.,tracking_id,cluster,lat,lng
5243,UID1000196563,5,13.0342,77.5566
5244,UID1000196564,5,13.0311,77.5505
5245,UID1000196565,5,13.0306,77.5501
5246,UID1000196566,5,13.0326,77.5521
5247,UID1000196631,5,13.0038,77.5559
5248,UID1000196632,5,13.0037,77.5572
5249,UID1000196633,5,13.0035,77.5577
5250,UID1000196634,5,13.0051,77.5585
5251,UID1000196635,5,13.0051,77.5587
5252,UID1000196636,5,13.0061,77.5589
5253,UID1000196637,5,13.0054,77.5588
5254,UID1000196638,5,13.0031,77.5596
5255,UID1000196639,5,13.0013,77.5558
5256,UID1000196640,5,13.0013,77.5554
5257,UID1000196641,5,13.0018,77.5534
5258,UID1000196674,5,13.002,77.559
5259,UID1000196675,5,12.9988,77.5541
5260,UID1000196676,5,12.9966,77.5554
5261,UID1000196677,5,12.9955,77.5574
5262,UID1000196678,5,12.9947,77.5584
5263,UID1000196688,5,12.9828,77.545
5264,UID1000196689,5,12.9822,77.5445
5265,UID1000196690,5,12.9812,77.5447
5266,UID1000196691,5,12.9819,77.5459
5267,UID1000196692,5,12.9819,77.5458
5268,UID1000196693,5,12.9819,77.5445
5269,UID1000196694,5,12.9818,77.5428
5270,UID1000196695,5,12.9822,77.543
5271,UID1000196696,5,12.9823,77.5434
5272,UID1000196697,5,12.9837,77.5434
5273,UID1000196698,5,12.9845,77.5401
5274,UID1000196699,5,12.9877,77.5399
5275,UID1000196700,5,13.0126,77.54
5276,UID1000196701,5,13.0146,77.5402
5277,UID1000196702,5,13.0153,77.5405
5278,UID1000196703,5,13.015,77.5395
5279,UID1000196704,5,13.0139,77.541
5280,UID1000196705,5,13.0133,77.5412
5281,UID1000196706,5,13.0132,77.5408
5282,UID1000196707,5,13.0166,77.5413
5283,UID1000196708,5,13.0187,77.5414
5284,UID1000196709,5,13.0193,77.542
5285,UID1000196761,5,13.0218,77.5386
5286,UID1000196762,5,13.0221,77.5388
5287,UID1000196763,5,13.0275,77.5376
5288,UID1000196764,5,13.027,77.5384
5289,UID1000196767,5,13.0269,77.5395
5290,UID1000196768,5,13.0275,77.5396
5291,UID1000196769,5,13.0265,77.5395
5292,UID1000196770,5,13.0276,77.5387
5293,UID1000196771,5,12.9856,77.5397
5294,UID1000196773,5,12.9922,77.5265
5295,UID1000196774,5,12.9913,77.5263
5296,UID1000196793,5,13.0128,77.5451
5297,UID1000196794,5,13.0135,77.5448
5298,UID1000196795,5,13.0134,77.5448
5299,UID1000196796,5,13.0129,77.5465
5300,UID1000196799,5,13.0154,77.5471
5301,UID1000196800,5,13.0146,77.5459
5302,UID1000196801,5,13.0222,77.5386
5303,UID1000196802,5,13.0246,77.5376
5304,UID1000196804,5,13.0348,77.5587
5305,UID1000196805,5,13.0329,77.5575
5306,UID1000196806,5,13.0328,77.5576
5307,UID1000196807,5,13.0322,77.5573
5308,UID1000196808,5,13.0321,77.5569
5309,UID1000196809,5,13.0311,77.5556
5310,UID1000196810,5,13.0305,77.5554
5311,UID1000196811,5,13.029,77.5555
5312,UID1000196812,5,13.0281333,77.55527
5313,UID1000196813,5,13.0278,77.5557
5314,UID1000196814,5,13.0278,77.5551
5315,UID1000196815,5,13.0255,77.5546
5316,UID1000196816,5,13.021,77.5584
